Batch,Loss
0,0.015658474667082492
1,0.015695457596254615
2,0.016407471496949176
3,0.025674462854305125
4,0.010429850583354001
5,0.031333102367425175
6,0.03509310575940337
7,0.03691543288956505
8,0.05397472032490108
9,0.01239801399513338
10,0.019764645488672943
11,0.0010000000474974513
12,0.0061399843640553365
13,0.029954576130770662
14,0.010573250851157614
15,0.06751034361624401
16,0.062406651671260714
17,0.049177504888309534
18,0.03358480745354862
19,0.07697535848278203
20,0.031906279546228655
21,0.02597433437781447
22,0.08795993215849013
23,0.019274511919464176
24,0.03920965006238646
25,0.02319614283188745
26,0.04156887298437559
27,0.02278218113490046
28,0.011563694932266898
29,0.17771746795140989
30,0.03472321624255613
31,0.04317762224773172
32,0.006560202829740443
33,0.1024444574081352
34,0.03836957417447261
35,0.0349326911803088
36,0.16281278028122828
37,0.0010000000474974513
38,0.026683718174234407
39,0.01936112827952849
40,0.024779421440279566
41,0.03457949988726159
42,0.04158267543913179
43,0.04077310713411899
44,0.007499571126758972
45,0.008099102295077813
46,0.053053411257821516
47,0.053594795547047464
48,0.01920860641291056
49,0.037524074093950845
50,0.028457047472376734
51,0.04537393729701967
52,0.04324953953894258
53,0.054647637603403854
54,0.050723410369432814
55,0.010136348415086842
56,0.06190731760200982
57,0.034161156841963934
58,0.0010000000474974513
59,0.09943414360562523
60,0.04759088189546083
61,0.03206523476010351
62,0.033645725240142726
63,0.0045086879194683955
64,0.01817469531359511
65,0.02508692673006874
66,0.0900949498192137
67,0.022667031278266126
68,0.004702094972669585
69,0.055514850965769746
70,0.3024612994280508
71,0.2037934468248258
72,0.11861875719439288
73,0.0480554008048055
74,0.0010000000474974513
75,0.015366880596204889
76,0.020431545325762246
77,0.02367857347080081
78,0.04414280304046337
79,0.0702454660085557
80,0.07510012461929295
81,0.028388759977790903
82,0.05006809106560402
83,0.01839752197265625
84,0.039518975814219155
85,0.06629132695207127
86,0.08393701541942984
87,0.05120629718351992
88,0.051588208541898405
89,0.04245483071494624
90,0.0010000000474974513
91,0.015942713244082394
92,0.0054131515207546076
93,0.1609853893914202
94,0.00046114137135639093
95,0.10708921938922651
96,0.014988132638944638
97,0.031173046402161068
98,0.07959338284599446
99,0.018679639029694734
100,0.030639083366008346
101,0.06270787176299031
102,0.051729074779627106
103,0.06955276146529131
104,0.00590848839103193
105,0.059933789560826886
106,0.04429932006585395
107,0.06498460970661958
108,0.04215716536855983
109,0.09000650001398121
110,0.0363596375166243
111,0.02423806746988672
112,0.004903938074196594
113,0.00486815776168338
114,0.025609693673607162
115,0.007395197503384088
116,0.0010000000474974513
117,0.017015419789719766
118,0.04334174399406047
119,0.012900104244298629
120,0.011591362544251096
121,0.10404199019931903
122,0.08803181567606713
123,0.054797793538021417
124,0.017377880363059334
125,0.07931994931650488
